AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI Real Estate & Property Tech,Investment Property Prediction ML,"This system employs machine learning to forecast property values and identify the best investment opportunities in real estate markets. By analyzing market data and trends, the model provides insights into which properties are likely to appreciate in value, helping investors make informed decisions.",Real Estate AI,Auto,Predictive,Numeric,Structured,Semi-Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Proof of Concept
AI Real Estate & Property Tech,Ensemble Pricing Model,"Zillow's AI system uses an ensemble of machine learning models to evaluate home prices. The system combines multiple predictive models to estimate the fair market value of a home based on historical data, market trends, and various property attributes. This ensemble approach ensures greater robustness and accuracy in pricing decisions.",Real Estate AI,Auto,Predictive,Numeric,Structured,Unstable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Enterprise
AI Energy Management,Power Plant Optimization ML,"This system uses machine learning to optimize the operation of power plants. By analyzing real-time data from sensors, the model identifies inefficiencies and suggests adjustments to improve thermal efficiency, fuel consumption, and overall plant performance.",Energy AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Energy Management,Anomaly Detection on Pipeline Sensors,"This system uses machine learning to detect anomalies in real-time pipeline sensor data. The model is trained to identify unusual patterns that could indicate issues like leaks, corrosion, or blockages, helping companies take preventive action before problems escalate.",Energy AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Energy Management,Anomaly Detection on Pipeline Sensors,"This system uses machine learning to detect anomalies in real-time pipeline sensor data. The model is trained to identify unusual patterns that could indicate issues like leaks, corrosion, or blockages, helping companies take preventive action before problems escalate.",Energy AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Voice Assistants & Speech AI,Neural TTS Model,"Voiceverse NFT leverages a neural Text-to-Speech (TTS) model to generate high-quality synthetic voices for NFTs. It converts written text into expressive, human-like speech, which is then incorporated into digital content, allowing users to create personalized voice tokens for various applications.",Retail AI,Auto,Automation,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Data Annotation & Labeling,Pre-labeling and QA ML,"Telus AI Data Solutions uses machine learning for pre-labeling data and ensuring quality assurance (QA). The model automates the process of tagging and labeling large datasets, streamlining the data preparation process for AI training. The system continuously improves as it learns from user feedback and new data.",Enterprise AI,Direct,Assistive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI General AI Application,Generative Design Optimization,"This system applies machine learning techniques to optimize generative design processes. By using algorithms that simulate real-world physical properties, the system generates efficient designs and then refines them based on performance criteria. This is commonly used in manufacturing and engineering to create optimized, cost-effective products.",Automotive AI,Indirect,Assistive,Numeric,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,2.5,Department
AI Generative AI,Latent Diffusion Model,"Stability AIs Stable Diffusion model is an image generation system that uses a latent diffusion model to generate high-quality images based on textual descriptions. The model is capable of creating diverse images with high resolution, making it a popular choice for creative industries.",Generative AI,Auto,Assistive,Image,Unstructured,Semi-Stable,High,51,Information,Moderate,250,Department
AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Logistics AI,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1.2,Enterprise
AI Generative AI,Generative Design Algorithms,"This AI model applies generative design techniques, allowing computers to create optimized structures or solutions based on specified parameters. The model uses evolutionary algorithms to explore multiple design possibilities and generate the most efficient designs for engineering, architecture, and manufacturing applications.",Generative AI,Indirect,Assistive,Numeric,Structured,Stable,High,51,Information,Moderate,2.5,Department
AI Healthcare,Outage Risk Prediction ML,"This system applies machine learning to predict potential outages in infrastructure systems like power grids. By analyzing real-time sensor data and historical patterns, the model forecasts failures and provides proactive maintenance recommendations to prevent costly downtime.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance Model,"This AI system uses machine learning to predict the maintenance needs of industrial machinery. By analyzing sensor data and historical failure patterns, the model forecasts when equipment is likely to fail, enabling proactive maintenance and reducing downtime in critical infrastructure and manufacturing processes.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Legal Tech,GPT-3.5,"ChatGPTs legal brief model is powered by GPT-3.5, a state-of-the-art language model designed to assist with legal document generation. It can summarize case details, draft legal documents, and provide insights based on legal principles and past case precedents.",Finance AI,Auto,Assistive,Text,Unstructured,Unstable,High,52,Finance and Insurance,High,0.5,Proof of Concept
AI Real Estate & Property Tech,Buyer/Seller Matchmaking ML,"This system uses machine learning to match buyers and sellers in real estate transactions. By analyzing user preferences, property characteristics, and historical transaction data, the model creates optimal matches, improving efficiency and user satisfaction in the buying and selling process.",Real Estate AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI General AI Application,Prolog Logic Programming,"The Japan Fifth Gen Project uses Prolog, a logic programming language, to implement artificial intelligence systems. Prolog is particularly suited for problems involving knowledge representation, reasoning, and planning, making it ideal for AI-driven research and applications in areas like natural language processing and expert systems.",Automotive AI,Auto,Automation,Text,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,0.5,Global
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance Model,"This AI system uses machine learning to predict the maintenance needs of industrial machinery. By analyzing sensor data and historical failure patterns, the model forecasts when equipment is likely to fail, enabling proactive maintenance and reducing downtime in critical infrastructure and manufacturing processes.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Chatbots & Conversational AI,LLM (Transformer),"This AI chatbot system is based on large language models (LLMs) using Transformer architecture. The system is trained on a diverse dataset that includes celebrity persona traits and conversational patterns, enabling it to simulate real-time interactions with users as if conversing with their favorite celebrities.",Social AI,Auto,Assistive,Text,Unstructured,Unstable,High,51,Information,Moderate,0.5,Department
AI General AI Application,Risk Simulation ML + 3D Modeling,"This system combines machine learning with 3D modeling to simulate and assess risks in real-world environments. The AI analyzes potential threats and hazards, such as natural disasters or infrastructure failures, providing predictive insights for better risk management and preparedness.",Automotive AI,Indirect,Predictive,Geospatial,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,100,Department
AI Real Estate & Property Tech,Ensemble Pricing Model,"Zillow's AI system uses an ensemble of machine learning models to evaluate home prices. The system combines multiple predictive models to estimate the fair market value of a home based on historical data, market trends, and various property attributes. This ensemble approach ensures greater robustness and accuracy in pricing decisions.",Real Estate AI,Auto,Predictive,Numeric,Structured,Unstable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI Predictive Maintenance & Industrial Analytics,Turbine Efficiency Prediction ML,"This system uses machine learning to monitor the efficiency of turbines in power generation. The model analyzes sensor data to predict performance degradation and recommend adjustments for optimal operation, ensuring energy production remains efficient and sustainable.",Industrial AI,Indirect,Predictive,Numeric,Structured,Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Voice Assistants & Speech AI,NLU + Knowledge Retrieval,"Alexa's Election Q&A system utilizes Natural Language Understanding (NLU) and knowledge retrieval techniques to answer election-related questions. It processes user queries in natural language, retrieves relevant information from trusted sources, and presents it in an easily understandable format.",Retail AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,44,Retail Trade,High,0.2,Proof of Concept
AI Legal Tech,GPT-3.5,"ChatGPTs legal brief model is powered by GPT-3.5, a state-of-the-art language model designed to assist with legal document generation. It can summarize case details, draft legal documents, and provide insights based on legal principles and past case precedents.",Finance AI,Auto,Assistive,Text,Unstructured,Unstable,High,52,Finance and Insurance,High,0.5,Department
AI Security & Surveillance,CNN Face Embedding + Search,"Clearview AI utilizes Convolutional Neural Networks (CNNs) to generate face embeddings and perform facial recognition on images. The model compares facial features against a large database of public images, enabling identification and verification in security and law enforcement applications.",Security AI,Direct,Assistive,Image,Unstructured,Unstable,High,56,Administrative and Support and Waste Management and Remediation Services,Very-High,250,Proof of Concept
AI Voice Assistants & Speech AI,ASR + Deep Learning NLU,"This system uses Automatic Speech Recognition (ASR) for transcribing speech and Deep Learning-based Natural Language Understanding (NLU) to interpret the context of the transcriptions. The combination allows the system to understand and respond to spoken commands more effectively, used in virtual assistants for more accurate and meaningful interactions with users.",Retail AI,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,High,20,Enterprise
AI Recommendation & Personalization,Deep Audio Embedding + CF,"This model uses deep learning techniques to create audio embeddings, capturing unique audio features, combined with Collaborative Filtering (CF) for personalized recommendations. By learning from user preferences and past listening history, the system suggests relevant music, podcasts, or audio content, widely used in music streaming and podcast services.",Retail AI,Auto,Assistive,Audio+Numeric,Structured,Stable,High,44,Retail Trade,High,52.5,Enterprise
AI Data Annotation & Labeling,CNN Object Recognition,"This system uses Convolutional Neural Networks (CNN) to detect and classify objects within images. By processing visual data and identifying key features, CNNs excel in identifying objects in various scenarios, such as in security systems, autonomous vehicles, or product categorization in e-commerce platforms.",Enterprise AI,Auto,Descriptive,Image,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,100,Department
AI Predictive Maintenance & Industrial Analytics,Predictive Maintenance ML,"The GE Predix platform employs predictive maintenance machine learning models to analyze equipment data from industrial machines. By predicting potential failures before they occur, the platform helps to optimize maintenance schedules, reducing downtime and improving overall operational efficiency.",Industrial AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,31,Manufacturing,Moderate,1,Department
AI Manufacturing & Quality Control,Computer Vision for Quality Control,"This system uses Computer Vision (CV) to monitor the quality of products during production. The model is trained to detect imperfections, ensuring that only products that meet quality standards are shipped. It is particularly useful in industries like electronics, automotive, and consumer goods, where product defects can have significant impacts on performance and safety.",Manufacturing AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,54,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",High,100,Department
AI Healthcare,Outage Risk Prediction ML,"This system applies machine learning to predict potential outages in infrastructure systems like power grids. By analyzing real-time sensor data and historical patterns, the model forecasts failures and provides proactive maintenance recommendations to prevent costly downtime.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Global
AI Data Annotation & Labeling,Pre-labeling and QA ML,"Telus AI Data Solutions uses machine learning for pre-labeling data and ensuring quality assurance (QA). The model automates the process of tagging and labeling large datasets, streamlining the data preparation process for AI training. The system continuously improves as it learns from user feedback and new data.",Enterprise AI,Direct,Assistive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Mapping & Navigation,ML Routing + Place Classification,"Apple Maps uses machine learning models for routing optimization and place classification. The system analyzes geographic data and traffic conditions to recommend optimal routes and categorize places (e.g., restaurants, gas stations) based on user preferences and past behaviors.",Navigation AI,Auto,Assistive,Geospatial,Semi-Structured,Unstable,Medium,54,"Professional, Scientific, and Technical Services",High,40,Enterprise
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Energy Management,Energy Sensor Analytics ML,"This model applies machine learning to analyze data from energy sensors installed in buildings or factories. By processing usage patterns, the system identifies inefficiencies and suggests optimizations to reduce energy consumption, contributing to environmental sustainability and cost savings.",Energy AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI General AI Application,Risk Simulation ML + 3D Modeling,"This system combines machine learning with 3D modeling to simulate and assess risks in real-world environments. The AI analyzes potential threats and hazards, such as natural disasters or infrastructure failures, providing predictive insights for better risk management and preparedness.",Automotive AI,Indirect,Predictive,Geospatial,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,100,Proof of Concept
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Assistants,NLP + Predictive Analytics,"This system integrates NLP to extract and analyze unstructured text data, combined with predictive analytics to forecast future trends or behaviors. The model processes textual data from multiple sources and uses statistical methods to predict future outcomes, applied in fields like finance, healthcare, and marketing to make informed predictions based on past data.",Consumer AI,Auto,Assistive,Text+Numeric,Semi-Structured,Stable,Medium,54,Retail Trade,High,1.2,Enterprise
AI Recommendation & Personalization,Deep Audio Embedding + CF,"This model uses deep learning techniques to create audio embeddings, capturing unique audio features, combined with Collaborative Filtering (CF) for personalized recommendations. By learning from user preferences and past listening history, the system suggests relevant music, podcasts, or audio content, widely used in music streaming and podcast services.",Retail AI,Auto,Assistive,Audio+Numeric,Structured,Stable,High,44,Retail Trade,High,52.5,Department
AI Security & Surveillance,CV Defect Detection,"This model uses Computer Vision (CV) to detect defects in products or components during manufacturing. By analyzing images or videos of items, the system identifies imperfections and alerts operators in real-time. This system helps improve quality control processes, particularly in high-precision manufacturing environments like automotive and electronics industries.",Security AI,Indirect,Automation,Image,Unstructured,Semi-Stable,Medium,56,Administrative and Support and Waste Management and Remediation Services,Very-High,100,Department
AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Logistics AI,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1.2,Enterprise
AI Negotiation Agents,RL-trained Dialogue System,"This system leverages Reinforcement Learning (RL) to train AI agents in negotiation tasks. The agents learn through interactions, receiving feedback that helps them adapt their responses and improve negotiation strategies over time. It is ideal for complex tasks requiring dynamic decision-making and adaptive learning in dialogue-based applications.",Research AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Education Technology,Watson NLP Q&A Model,"This system uses Natural Language Processing (NLP) to build a question-answering model that understands and responds to user inquiries. The model is trained on large datasets of questions and answers, enabling it to provide contextually accurate and relevant responses in educational and support environments.",Content AI,Indirect,Assistive,Text,Unstructured,Stable,Medium,51,Software Publishers,Moderate,0.2,Department
AI Education Technology,OCR + Clustering for Grading,This system uses Optical Character Recognition (OCR) to digitize handwritten or printed texts and applies clustering techniques to group similar responses for efficient grading. It is commonly used in educational settings to automate grading and streamline the evaluation process.,Content AI,Direct,Assistive,Image,Unstructured,Unstable,Medium,51,Software Publishers,Moderate,100,Department
AI Energy Management,Virtual Power Plant Control ML,"This model uses machine learning to manage and control distributed energy resources in a virtual power plant. It optimizes energy distribution by analyzing data from smart devices, ensuring efficient use of energy resources across the grid. This improves energy efficiency and contributes to sustainability goals.",Energy AI,Indirect,Automation,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Healthcare,Watson NLP + ML Ranking,"This system uses a combination of Natural Language Processing (NLP) and Machine Learning Ranking models to extract, interpret, and prioritize relevant clinical information from unstructured medical records and literature. The NLP engine processes oncology-related text, while the ML Ranking algorithm evaluates treatment options based on clinical guidelines, patient data, and prior outcomes.",Healthcare AI,Indirect,Prescriptive,Text,Unstructured,Semi-Stable,High,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Legal Tech,NLP Document Parsing,"COIN is an AI-driven platform developed by JPMorgan to parse and analyze legal contracts using Natural Language Processing (NLP). The system extracts key information from documents, reducing the time required for reviewing contracts and identifying critical terms or clauses.",Finance AI,Direct,Automation,Text,Unstructured,Stable,Medium,52,Finance and Insurance,High,0.2,Proof of Concept
AI Autonomous Vehicles & Mobility,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
AI Legal Tech,GPT-3.5,"ChatGPTs legal brief model is powered by GPT-3.5, a state-of-the-art language model designed to assist with legal document generation. It can summarize case details, draft legal documents, and provide insights based on legal principles and past case precedents.",Finance AI,Auto,Assistive,Text,Unstructured,Unstable,High,52,Finance and Insurance,High,0.5,Proof of Concept
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Document Processing & Conversion,OCR + Document Parsing ML,GoldenGate employs Optical Character Recognition (OCR) combined with machine learning-based document parsing to convert scanned documents into structured data. The system accurately extracts text from various document formats and structures it for use in data processing workflows.,Enterprise AI,Auto,Automation,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Navigation AI,Auto,Assistive,Text,Unstructured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI Epidemiological Prediction,Nowcasting Regression Model,"Google Flu Trends uses a nowcasting regression model to predict flu activity trends based on search queries and social media data. The system analyzes user behavior and search patterns to detect early signs of flu outbreaks, allowing health organizations to prepare in advance.",Healthcare AI,Auto,Predictive,Numeric,Structured,Unstable,Low,62,Health Care and Social Assistance,Very-High,0.5,Global
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Healthcare,Embedded Diagnostic ML,"Forward uses an embedded diagnostic machine learning model to analyze real-time patient data from health pods. The system provides immediate diagnostics, suggesting potential health issues and offering personalized recommendations based on the data gathered during a patient's self-assessment.",Healthcare AI,Auto,Prescriptive,Numeric,Structured,Unstable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Chatbots & Conversational AI,FAQ-based NLP Model,"Air Canada's chatbot is powered by an FAQ-based NLP model that is designed to answer common questions about flights, booking, and customer service. The system processes natural language queries and retrieves the most relevant information from a predefined set of frequently asked questions.",Social AI,Auto,Assistive,Text,Unstructured,Unstable,Medium,51,Information,Moderate,0.2,Department
AI Mapping & Navigation,FAQ NLP Engine,"This model utilizes Natural Language Processing (NLP) to understand and process user queries against a pre-existing FAQ database. It matches questions with the most relevant answers by analyzing the meaning of the text input, enabling automation in customer service platforms, where common questions can be answered without human intervention.",Navigation AI,Auto,Assistive,Text,Unstructured,Unstable,Low,54,"Professional, Scientific, and Technical Services",High,0.1,Proof of Concept
AI General AI Application,Generative Design Optimization,"This system applies machine learning techniques to optimize generative design processes. By using algorithms that simulate real-world physical properties, the system generates efficient designs and then refines them based on performance criteria. This is commonly used in manufacturing and engineering to create optimized, cost-effective products.",Automotive AI,Indirect,Assistive,Numeric,Structured,Stable,High,336,Transportation Equipment Manufacturing,Very-High,2.5,Department
AI Voice Assistants & Speech AI,ASR + Deep Learning NLU,"This system uses Automatic Speech Recognition (ASR) for transcribing speech and Deep Learning-based Natural Language Understanding (NLU) to interpret the context of the transcriptions. The combination allows the system to understand and respond to spoken commands more effectively, used in virtual assistants for more accurate and meaningful interactions with users.",Retail AI,Auto,Assistive,Audio,Unstructured,Semi-Stable,Medium,44,Retail Trade,High,20,Enterprise
